state,city,institute_carnegie_classification,school,primary_investigator,Position,website,research_interest,postdoc_wanted
Georgia,Atlanta,R1,Georgia Institute of Technology,Stephen Barlow,,,,
Georgia,Athens,R1,University of Georgia,Steven Wheeler,Associate Professor,,"computational chemistry,predictive",
Georgia,Atlanta,R1,Georgia State University,Suazette Mooring,Associate Professor,http://chemedatgsu.webs.com/,Pedagogy,
Georgia,Atlanta,R1,Georgia State University,Suri Iyer,Professor,https://siyer.gsucreate.org/publications/,"glycoscience,synthetic chemistry,assay development,synthetic organic",
Georgia,Atlanta,R1,Georgia Institute of Technology,Vinayak Agarwal,,http://www.agarwallab.com/,"natural products,biosynthesis,enzyme engineering",
Georgia,Athens,R1,University of Georgia,Vladimir Popik,Professor,,photoswitches,
Georgia,Atlanta,R1,Georgia Institute of Technology,Will Gutekunst,,,"polymer chemistry,materials",
Georgia,Atlanta,R1,Emory University,William Wuest,Associate Professor,https://scholarblogs.emory.edu/wuestlab/,"total synthesis,chemical biology,antibiotic development,synthetic organic",
Hawaii,Honolulu,R1,University of Hawaii,Marcus Tius,,http://manoa.hawaii.edu/chem/groups/tius/,"total synthesis,natural products,synthetic organic",
Hawaii,Honolulu,R1,University of Hawaii,Philip Williams,,,"marine natural products,methods for stereochemical determination",
Idaho,Moscow,R2,University of Idaho,Kristopher Waynant,,https://waynantresearch.webs.com/,synthetic organic,
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Angad Mehta,Assistant Professor,https://chemistry.illinois.edu/directory/profile/apm8,"genome editing,synthetic biochemical pathways",
Illinois,Chicago,R1,University of Illinois Chicago,Daesung Lee,,http://www2.chem.uic.edu/leegroup/,"stereoselective enyne matathesis,electrophilic transition metal carbenoids,alder-ene reaction,synthetic organic",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,David Sarlah,Assistant Professor,https://chemistry.illinois.edu/sarlah,"natural product synthesis,asymmetric catalysis,method development",
Illinois,,X,Northern Illinois University,Douglas Klumpp,,https://www.niu.edu/klumpp/group-members/index.shtml,synthetic organic,
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Douglas Mitchell,Professor,https://chemistry.illinois.edu/douglasm,"natural product discovery,structure elucidation,structure activity relationship",
Illinois,Chicago,R1,University of Illinois Chicago,Duncan Wardrop,,http://www2.chem.uic.edu/wardrop/,"natural product synthesis,hypervalent iodine,nitrenium ions,synthetic organic",
Illinois,Evanston,R1,Northwestern University,Fraser Stoddard,,https://stoddart.northwestern.edu/,synthetic organic,
Illinois,Chicago,R1,University of Illinois Chicago,Glusac,,,"photocatalytic electrocatalytic,metal free catalysis,graphene quantum dots and nanoribbons",
Illinois,Chicago,R1,University of Chicago,Guangbin Dong,Professor,https://voices.uchicago.edu/donggroup/,"C-C Bond Activation,Palladium Nrbornene Catalysis,Polymers,synthetic organic",
Illinois,,X,Loyola University Chicago,Hee Yeon Cho,,http://chogroup.org/,synthetic organic,
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Jefferson Chan,Assistant Professor,https://chemistry.illinois.edu/jeffchan,"synthesis of new chemical tools,molecular imaging,diagnostics",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Jeffrey Moore,Professor,https://chemistry.illinois.edu/jsmoore,"self healing polymers,energy storage,nanostructures and mechanochemistry",
Illinois,Evanston,R1,Northwestern University,Julia Kalow,Assistant Professor,https://sites.northwestern.edu/kalowlab/,"organic synthesis,polymer chemistry,materials science,synthetic organic",
Illinois,Chicago,R1,University of Illinois Chicago,Justin Mohr,,http://www2.chem.uic.edu/mohr/,synthetic organic,
Illinois,Evanston,R1,Northwestern University,Karl Scheidt,Professor,https://sites.northwestern.edu/scheidt/,"catalytic reaction methods,synthetic organic",
Illinois,Chicago,R1,University of Illinois Chicago,Laura Anderson,,http://www2.chem.uic.edu/anderson/,"pericyclic transformations,fischer indole synthesis,physcial organic and organometallic,synthetic organic",
Illinois,Chicago,R1,University of Illinois Chicago,Leslie Aldrich,,,"diversity oriented synthesis,unnatural products,high throughput screening",
Illinois,Chicago,R1,University of Chicago,Luping Yu,Professor,http://lupingyu.uchicago.edu/,"polymer chemistry,solar cell materials,photocatalysts,molecular electronics",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,M. Christina White,Professor,https://chemistry.illinois.edu/vddonk,"site selective Fe,Mn,Pd catalysts,late-stage functionalization,natural products",
Illinois,Chicago,R1,University of Chicago,Mark Levin,Assistant Professor,http://voices.uchicago.edu/levingroup,"reaction and mechanism discovery and development,methodology,synthetic organic",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Martin Burke,Professor,http://faculty.scs.illinois.edu/burke/,"small molecules protein like functions,molecular prosthetics,iterative cross coupling,synthetic organic",
Illinois,Evanston,R1,Northwestern University,Milan Mrksich,Professor,https://www.mrksichgroup.northwestern.edu/,"self assembled monolayers,electrical and optical switches,SAMDI method of mass spectrometry",
Illinois,Evanston,R1,Northwestern University,Nathan Gianneschi,Professor,https://sites.northwestern.edu/gianneschigroup/,"biomaterials,polymers,nanomaterials,in situ electron microscopy,biomimicry",
Illinois,Evanston,R1,Northwestern University,Neil Kelleher,Professor,http://www.kelleher.northwestern.edu/,"top down proteomics,natural products biosynthesis,chromatin biology",
Illinois,Evanston,R1,Northwestern University,Omar Farha,Professor,http://sites.northwestern.edu/omarkfarha/,"energy environment,metal organic framework,porous organic polymers",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Paul Hergenrother,Professor,https://www.hergenrothergroup.com/,"natural product synthesis,synthetic organic",
Illinois,Evanston,R1,Northwestern University,Regan Thomson,Professor,https://sites.northwestern.edu/thomson/,"organic synthesis,biologically active molecules,synthetic organic",
Illinois,Evanston,R1,Northwestern University,Richard Silverman,Professor,http://www.silverman.northwestern.edu/,"molecular mechanism of action,rational design,syntheses of medicinal agents,synthetic organic",
Illinois,Evanston,R1,Northwestern University,Samuel Stupp,Professor,http://stupp.northwestern.edu/,"self assembling organic materials,solar photovoltaics,biomaterials of rregenration",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Scott Denmark,Professor,http://faculty.scs.illinois.edu/denmark/,"catalytic asymmetric organic reactions,structure activity relationship,spectroscopy,crystallography,computational,synthetic organic",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Scott Silverman,Professor,https://chemistry.illinois.edu/sks,DNA as a catalyst,
Illinois,Chicago,R1,University of Chicago,Scott Snyder,Professor,http://snyder-group.uchicago.edu/,"chemoselective syntheses,natural products,synthetic organic",
Illinois,Evanston,R1,Northwestern University,SonBinh Nguyen,Professor,http://www.nguyengroup.northwestern.edu/,"inorganic organometallic,organic synthesis green chemistry,polymer science,synthetic organic",
Illinois,Chicago,R1,University of Chicago,Stephen Kent,Professor,,"Chemical Protein Synthesis,Racemic Protein Crystallography,Mirror Image Drug Discovery",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Steven Zimmerman,Professor,https://chemistry.illinois.edu/sczimmer,"smart molecules,catalysts,polymers",
Illinois,Chicago,R1,University of Chicago,Stuart Rowan,Professor,http://ime.uchicago.edu/rowan_group/,"polymer synthesis and characterization,nanomaterials,supramolecular,interlocked macromolecules",
Illinois,,X,Northern Illinois University,Timothy Hagen,,https://www.niu.edu/hagen/,synthetic organic,
Illinois,Evanston,R1,Northwestern University,Tobin Marks,Professor,https://sites.northwestern.edu/tobinmarksgroup/,"organo-f-elements,early transition metal organometallic,homogenous and heterogenous catalysis",
Illinois,Chicago,R1,University of Illinois Chicago,Tom Driver,,http://www2.chem.uic.edu/driver/,"transition metal mediated reactions,C-H bond to C-N bonds from azides,development of methodology,synthetic organic",
Illinois,Chicago,R1,University of Chicago,Viresh Rawal,Professor,https://rawalgroup.uchicago.edu/,"natural products,enantioselective,TADDOL,synthetic organic",
Illinois,Chicago,R1,University of Chicago,Weixin Tang,Assistant Professor,https://voices.uchicago.edu/tanglab/,"CRISPR,cyclic peptide libraries,sulfur modification in DNA and RNA",
Illinois,Urbana,R1,University of Illinois Urbana-Champaign,Wilfred van der Donk,Professor,https://chemistry.illinois.edu/vddonk,synthetic organic chemistry,
Illinois,Evanston,R1,Northwestern University,Will Dichtel,Professor,https://sites.northwestern.edu/dichtel/,"supramolecular,organic and polymer chemistry,solid-state characterization,synthetic organic",
Illinois,Chicago,R1,University of Chicago,Yamuna Krishnan,Professor,http://krishnanlab.uchicago.edu/,"quantitative imaging,DNA nanodevices fluorescence",
Indiana,West Lafayette,R1,Purdue University,Alexander Wei,Professor,http://www.chem.purdue.edu/awei,"chemical sensor platforms,sustainable synthesis,nano-bio interface surface chemistry",
Indiana,Bloomington,R1,Indiana University,Amar flood,Professor,https://floodweb.sitehost.iu.edu/,"anion recognition,molecular machines and assemblies switches,2d crystal engineering",
Indiana,West Lafayette,R1,Purdue University,Andrew Mesecar,Professor,,"Structure and function of enzymes,protein dynamics and conformational changes,enzyme biosynthesis and catalysis",
Indiana,South Bend,R1,University of Notre Dame,Anthony Serianni,,,"structure elucidation,NMR spectroscopy",
Indiana,West Lafayette,R1,Purdue University,Arun Ghosh,,http://www.chem.purdue.edu/ghosh/,"natural product synthesis,multicomponent reactions,synthetic organic",
Indiana,West Lafayette,R1,Purdue University,Betsy Parkinson,Assistant Professor,https://www.parkinsonlaboratory.com/betsy-1?_ga=2.218836249.1661550175.1607879230-1866328295.1607879230,"natural products from biosynthetic gene clusters,peptide macrocycles inspired by biosynthesis,high throughput assay",
Indiana,South Bend,R1,University of Notre Dame,Bradley Smith,,,"fluorescent imaging probes,squaraien-rotaxanes,Near IR dyes",
Indiana,West Lafayette,R1,Purdue University,Bram Axelrod,,https://www.chem.purdue.edu/axelrod/,"synthesis of natural products,glycoproteins,oligosaccharides",
Indiana,South Bend,R1,University of Notre Dame,Brandon Ashfeld,,https://ashfeldlab.nd.edu/,"synthetic organic,transition metal catalysis,method development,synthetic organic",
Indiana,South Bend,R1,University of Notre Dame,Brian Blagg,,,Hsp90 protein inhibitors,
Indiana,West Lafayette,R1,Purdue University,Bryan Boudouris,,,homopolymers and copolymers,
Indiana,West Lafayette,R1,Purdue University,Chengde Mao,,http://www.chem.purdue.edu/mao/,"nucleic acid self-assembly,structural determination of biomacromolecules,DNA based nanomachines",
Indiana,South Bend,R1,University of Notre Dame,Christian Melander,,https://sites.nd.edu/melanderlab/,"biofilm based infections,synthetic organic",
Indiana,West Lafayette,R1,Purdue University,Christopher Uyeda,Associate Professor,http://www.chem.purdue.edu/uyeda/,"catalyst discovery and design,physical,inorganic,spectroscopic and computational,synthetic organic",
Indiana,West Lafayette,R1,Purdue University,Daniel Flaherty,,https://www.mcmp.purdue.edu/faculty/dflaher,synthetic organic,
Indiana,West Lafayette,R1,Purdue University,David Thompson,Professor,https://www.davidthompsonlab.com/?_ga=2.253494537.1661550175.1607879230-1866328295.1607879230,new lipid membrane construction,
Indiana,Bloomington,R1,Indiana University,David Williams,Professor,https://williams.lab.indiana.edu,"natural products total synthesis,synthetic organic",
Indiana,South Bend,R1,University of Notre Dame,Haifeng Gao,,,"polymer chemistry,soft nanomaterials",
Indiana,West Lafayette,R1,Purdue University,Herman Sintim,,https://sites.google.com/site/sintimgrouphomepage/,"mutlicomponent reactions,chemical biology of bacterial communication,cyclic dinucleoptide and STING signaling in immune cells,synthetic organic",
Indiana,West Lafayette,R1,Purdue University,Hilkka Kenttamaa,,http://www.chem.purdue.edu/hilkka/,gas phase ion mass spectrometry,
Indiana,Bloomington,R1,Indiana University,J.P. Gerdt,Assistant Professor,https://gerdt.lab.indiana.edu/,"microbial natural products,interspecies signaling and cooperation",
Indiana,Bloomington,R1,Indiana University,Jared Lewis,Associate Professor,https://lewis.lab.indiana.edu/,"protein engineering and directed evolution,artificial metalloenzymes,transition metal catlysis",
Indiana,West Lafayette,R1,Purdue University,Jean Chmielewski,,http://www.chem.purdue.edu/chml/,"small molecules,peptides,peptidomimetics,bionanotechnology",
Indiana,West Lafayette,R1,Purdue University,Jianguo Mei,Associate Professor,https://www.jianguomei.com/?_ga=2.222940443.1661550175.1607879230-1866328295.1607879230,"conjugated materials and polymer composites,flexible and printed electronics,device technoloogy development",
Indiana,South Bend,R1,University of Notre Dame,Juan Del Valle,,https://delvallelab.weebly.com/,"peptidomimetics,non-ribosomal natural products,synthetic organic",
Indiana,West Lafayette,R1,Purdue University,Kavita Shah,Professor,http://www.chem.purdue.edu/shah/,,
Indiana,Bloomington,R1,Indiana University,Kevin Brown,Professor,https://kbrown.lab.indiana.edu/,"stereoselective 2+2 cycloadditions,transition metal catalyzed cross coupling reactions,synthetic organic",
Indiana,Bloomington,R1,Indiana University,Liang-shi Li,Associate Professor,https://li.lab.indiana.edu/Research.html,"colloidal graphene quantum dots,carbon based materials for energy and medicine",
Indiana,West Lafayette,R1,Purdue University,Mark Cushman,,https://www.mcmp.purdue.edu/faculty/cushmanm,synthetic organic,
Indiana,West Lafayette,R1,Purdue University,Mark Lipton,,http://www.chem.purdue.edu/lipton/,"guanylation of amines reagent development,cyclic dipeptirde catalyst,solid supports,synthetic organic",
Indiana,South Bend,R1,University of Notre Dame,Mary Galvin,,,"organic light emitting diodes,thin film transistors",
Indiana,Bloomington,R1,Indiana University,Michael VanNieuwenhze,Professor,https://msv.lab.indiana.edu/,"peptidoglycan synthesis and cell wall morphology,synthetic organic",
Indiana,West Lafayette,R1,Purdue University,Mingji Dai,,http://www.chem.purdue.edu/dai/,"natural products,synthetic organic",
Indiana,Bloomington,R1,Indiana University,Nicola Pohl,Professor,http://pohl.chem.indiana.edu/,"glycoproteins,suface carbohydrates,de novo sequencing,synthetic organic",
Indiana,South Bend,R1,University of Notre Dame,Olaf Weist,,,"energetics of non-covalent complexes,mechanistic study of catalyzed reactions,chiral ligands in asymmetric catalysis",
Indiana,West Lafayette,R1,Purdue University,P. V. Ramachandran,,http://www.chem.purdue.edu/chandran/,"mechanistic insight  into novel reactions and method development,synthetic organic",
Indiana,South Bend,R1,University of Notre Dame,Paul Helquist,,https://chemistry.nd.edu/people/paul-helquist/,"transition metal and organometallic complexes preparation,symmetric synthesis,natural product synthesis,synthetic organic",
Indiana,West Lafayette,R1,Purdue University,Paul Wenthold,Associate Professor,http://www.chem.purdue.edu/wenthold/,"mass spec and ion spectroscopy,mechanism in the gas phase,energetics and structure",
Indiana,South Bend,R1,University of Notre Dame,Richard Taylor,,https://chemistry.nd.edu/people/rich-taylor/,"total synthesis and method devlopment,bacterial fermentation genetic manipulation of bioorganisms,polyketide synthesis,synthetic organic",
Indiana,Indianapolis,R2,Indiana University Purdue University Indianapolis,Robert Minto,,https://mintogroup.chem.iupui.edu,synthetic organic,
Indiana,West Lafayette,R1,Purdue University,Ryan Altman,,https://www.mcmp.purdue.edu/faculty/raaltman,"synthetic reactions,physicochemical and biophysical fluorinated functional groups,medicinal chemistry for pharmacological collaboration,synthetic organic",
Indiana,Indianapolis,R2,Indiana University Purdue University Indianapolis,Sebastien Laulhe,,http://www.laulhegroup.com/,synthetic organic,
Indiana,South Bend,R1,University of Notre Dame,Seth Brown,,,"mechanism development,inorganic and organometallic complexes",
Indiana,South Bend,R1,University of Notre Dame,Shahriar Mobashbery,,,"novel antibacterials,extracellular matric disease",
Indiana,Bloomington,R1,Indiana University,Silas Cook,Professor,https://cooklab.sitehost.iu.edu/,"catalysis,metal agnostic,palladium,green catalysis,nickel palladium,platinum,synthetic organic",
Indiana,Bloomington,R1,Indiana University,Thomas Snaddon,Associate Professor,https://snaddon.lab.indiana.edu,"catalysis and natural products,cooperative catalysis,synthetic organic",
Indiana,South Bend,R1,University of Notre Dame,Vlad Lluc,,,"C-H bond acitivation,metal complexes,catalytic cycles",
Indiana,West Lafayette,R1,Purdue University,Zhong-Yin Zhang,PRofessor,https://www.chem.purdue.edu/zhang/,"chemical genomic program,CRISPR",
Iowa,Ames,R1,Iowa State University,Aaron Sadow,,https://sadow.chem.iastate.edu/,synthetic organic,
Iowa,Ames,R1,Iowa State University,Arthur Winter,Professor,,"bioorganic chemistry,compoutational chemistry,time-resolved sprectroscopy",
Iowa,Ames,R1,Iowa State University,Brett VanVeller,Associate Professor,,"photochemistry,peptide chemistry,physical organic",
Iowa,Iowa City,R1,University of Iowa,Chris Pigge,Associate Professor,https://chem.uiowa.edu/people/f-christopher-pigge,"organometallics,synthesis of heterocyclic compounds,supramoleulcar host guest chemistry,synthetic organic",
Iowa,Iowa City,R1,University of Iowa,Christopher Cheatum,Professor,,"femtosecond IR spectroscopy of enzymes,molecular mechanism of enzymatic catalysis",
Iowa,Iowa City,R1,University of Iowa,Dave Martin,Assistant Professor,https://martin.lab.uiowa.edu/index.html,"photocatalysis,natural product synthesis,mechanism of action studies,synthetic organic",
Iowa,Iowa City,R1,University of Iowa,David Wiemer,Professor,https://chem.uiowa.edu/wiemer-research-group,"natural product synthesis,organophosphorous chemistry,terpenes,synthetic organic",
Iowa,Iowa City,R1,University of Iowa,Florence Williams,Assistant Professor,https://www.williamsresearchlab.com/,"Boron Chemistry,bioorthogonal cross coupling,nitrene chemistry,synthetic organic",
Iowa,Ames,R1,Iowa State University,George Kraus,Professor,https://www.chem.iastate.edu/people/george-kraus,"biorenewable chemicals from lignin,green chemistry,organic synthesis,synthetic organic",
Iowa,Iowa City,R1,University of Iowa,Greg Friestad,Associate Professor,https://chem.uiowa.edu/people/gregory-k-friestad,"natural product synthesis,stereoselectice C-C bond construction,organometallic reagents,synthetic organic",
Iowa,Iowa City,R1,University of Iowa,Hien Nguyen,,https://nguyenresearchgroup.lab.uiowa.edu,synthetic organic,
Iowa,Iowa City,R1,University of Iowa,Horacio Olivo,,https://olivoresearch.wordpress.com,synthetic organic,
Iowa,Iowa City,R1,University of Iowa,James Gloer,Professor,,"Natural product disocver,isolation,and structure determination",
Iowa,Ames,R1,Iowa State University,Junqi Li,Assistant Professor,,"molecular editing with transition metal catalysis,organocatalysis",
Iowa,Iowa City,R1,University of Iowa,Leonard MacGillivray,Professor,,"solid state organic and inorganic chemistry,nanotechnology,porous molecular solids",
Iowa,Ames,R1,Iowa State University,Levi Stanley,Associate Professor,https://www.chem.iastate.edu/people/levi-stanley,"asymmetric synthesis,organometallics,synthetic methodology,synthetic organic",
Iowa,Iowa City,R1,University of Iowa,Ned Bowden,Professor,,"polymer chemistry,organic solvent nanofiltration,agricultural science",
Iowa,Ames,R1,Iowa State University,William Jenks,Professor,,"reactive intermediates,computational organic chemistry,environmental photochemistry",
Iowa,Ames,R1,Iowa State University,Yan Zhao,Professor,,"biomaterials,biomimetic polymers,biomass conversion",
Iowa,Iowa City,R1,University of Iowa,Zhendong Jin,,https://pharmacy.uiowa.edu/directory/person/zhendong-jin,synthetic organic,True
Kansas,Lawrence,R1,University of Kansas,David Benson,Associate Professor,,"heme proteins,biochemistry and molecular biology",
Kansas,Manhattan,R1,Kansas State University,Duy Hua,Professor,http://www.k-state.edu/chem/people/grad-faculty/hua/lab/index.html,"bimetallic nanoclusters in catalytic asymmetric synthesis,electronic biosensors,C-C bond forming in chiral molecules,synthetic organic",
Kansas,Lawrence,R1,University of Kansas,Helena Malinakova,Associate Professor,,"synthetic methodology,transition metal mediated catalysts,asymmetric reactions",
Kansas,Lawrence,R1,University of Kansas,Jon Tunge,Professor,http://tungegroup.ku.edu/,"decarboxylative metalation reactions,C-H bond functionalization,synthetic organic",
Kansas,Manhattan,R1,Kansas State University,Mark Hollingsworth,Associate Professor,,"Solid State Organic chemistry,physical spectroscopy macroscopic crystals,crystalline structure response to stimuli",
Kansas,Lawrence,R1,University of Kansas,Meredith Hartley,Assistant Professor,https://hartleygroup.blog.ku.edu/,"Lipids pathophysiology,endocrinology neurological disease",
Kansas,Lawrence,R1,University of Kansas,Michael Rubin,Associate Professor,http://chem.ku.edu/people/faculty/mrubin,"chiral ligands for asymmetric transition metal catalysis,synthetic organic",
Kansas,Lawrence,R1,University of Kansas,Minae Mure,Associate Professor,http://muregroup.ku.edu/,breast cancer research,
Kansas,Lawrence,R1,University of Kansas,Paul Hanson,Professor,,"natural product synthesis,transition metal catalyzed reactions,s and p heterocycles",
Kansas,Manhattan,R1,Kansas State University,Ping Li,Associate Professor,https://www.k-state.edu/chem/people/grad-faculty/pli/lab/index.html,"polymer biosynthesis regulation and utilization,bacterial enzymes in lignin for biofuels,protein methyltransferases in epigenetics",
Kansas,Manhattan,R1,Kansas State University,Ryan Rafferty,Associate Professor,http://www.k-state.edu/chem/people/grad-faculty/rafferty/lab/index.html,"natural product synthesis,lead compound drug screening,structure activity relationship,synthetic organic",
Kansas,Manhattan,R1,Kansas State University,Santosh Aryal,Assistant Professor,http://nicks.ksu.edu/people/faculty/aryal/index.html,"organic inorganic nanomaterials,polymer synthesis and characterization,combinatorial chemotherapy",
Kansas,Lawrence,R1,University of Kansas,Zarko Boskovic,,https://boskoviclab.ku.edu,synthetic organic,
Kentucky,Lexington,R1,University of Kentucky,Aron Huckaba,Assistant Professor,http://www.huckabagroup.com/,"Metal/dye complexes,small molecule catalysts,organic materials for sensors and devices",
Kentucky,Lexington,R1,University of Kentucky,Arthur Cammers,Associate Professor,,"Condensed Phase pi stacking,molecular recognition of oxoanions,synthetic and physical organic chemistry",
Kentucky,Lexington,R1,University of Kentucky,Bob Grossman,,https://chem.as.uky.edu/users/rbgros1,"biosynthesis of natural products,synthetic organic",
Kentucky,Lexington,R1,University of Kentucky,Dave Watt,,http://biochemistry.med.uky.edu/users/dwatt,synthetic organic,
Kentucky,Lexington,R1,University of Kentucky,Folami Ladipo,Associate Professor,,"Biomass conversion,catalysis and transition metal mediated organic synthesis",
Kentucky,Louisville,R1,University of Louisville,Frederick Luzzio,Professor,http://louisville.edu/chemistry/directory/faculty/frederick-a.-luzzio,"natural products synthesis,methods development,isolation and discovery of natural products,synthetic organic",
Kentucky,Louisville,R1,University of Louisville,Gerald Hammond,,http://louisville.edu/chemistry/directory/faculty/gerald-b.-gb-hammond,"organofluorine chemistry,green chemistry,synthetic methods development,synthetic organic",
Kentucky,Lexington,R1,University of Kentucky,Jon Anthony,Professor,,"aromatic chemistry,organic semiconductors,materials for flexible electronics",
Kentucky,Lexington,R1,University of Kentucky,Marcelo Guzman,Associate Professor,,"mass spec and chromatography,photocatalysis and photochemistry,environmental chemistry",
Kentucky,Lexington,R1,University of Kentucky,Mark Meier,Professor,,"materials,biomass conversion,carbon nanotube",
Kentucky,Lexington,R1,University of Kentucky,Mark Watson,Associate Professor,,"Materials chemistry,oligomers,polymers,amorphous,crystalline and liquid crystalline materials",
Kentucky,Louisville,R1,University of Louisville,Michael Nantz,,http://www.nantzgroup.com/Nantz_Lab/Homepage.html,"magnetic nanoparticles,aminooxy chemistry,small molecule delivery,synthetic organic",
Kentucky,Lexington,R1,University of Kentucky,R. Kiplin Guy,,http://pharmacy.uky.edu/faculty/rkgu223/Rodney-Guy,synthetic organic,True
Kentucky,Louisville,R1,University of Louisville,Sachin Handa,,,"sustainable nano-catalysis,materials,ligand design for assymetric catalysis",
Kentucky,Lexington,R1,University of Kentucky,Susan Odom,Associate Professor,,"synthesis of conjugated materials,stable electro-active materials,electrochemical energy storage",
Kentucky,Lexington,R1,University of Kentucky,Thomas Prisinzano,,https://www.prisinzanolab.com,synthetic organic,
Lousiana,New Orleans,R1,Tulane University,Bruce Gibb,Professor,,"nanotechnology,supramolecular chemistry",
Lousiana,Baton Rouge,R1,Louisiana State University,Carol Taylor,,https://faculty.lsu.edu/cmtaylor/index.php,synthetic organic,
Lousiana,Baton Rouge,R1,Louisiana State University,Garcia-Lopez,,,"Synthetic molecular machines and switches,chemical probes for lipids and membranes,supramolecular containers for photocatalysis",
Lousiana,New Orleans,R1,Tulane University,Janarthanan Jayawickramarajah,Professor,,"nanobiotechnology,molecular recognition,self assembly",
Lousiana,Baton Rouge,R1,Louisiana State University,Justin Ragains,,https://faculty.lsu.edu/ragains/index.php,"natural product synthesis,carbohydrate chemistry,photochemistry and surface chemistry,synthetic organic",
Lousiana,Baton Rouge,R1,Louisiana State University,Kevin Smith,,,"biosynthesis of porphyrins,hemes,chlorophylls,heterocyclic chemistry,organic electrochemistry",
Lousiana,New Orleans,R2,University of New Orleans,Mark Trudell,,https://www.uno.edu/profile/faculty/mark_trudell,synthetic organic,
Lousiana,New Orleans,R1,Tulane University,Nathalie Busschaert,Assistant Professor,,"development of trasnmembrane trasnporters,recognition of membrane components,supramolecular chemistry",
Lousiana,Baton Rouge,R1,Louisiana State University,Rendy Kartika,,https://sites01.lsu.edu/faculty/rkartika/,"chlorosulfolipid natural products,oxyallyl cations,synthetic organic",
Lousiana,Baton Rouge,R1,Louisiana State University,Rivas ,,,,
Lousiana,New Orleans,R1,Tulane University,Robert Pascal,Professor,,"enzyme mechanism and inhibitors,natural product biosynthesis,strained aromatic compounds,kinetic isotope effects",
Lousiana,New Orleans,R1,Tulane University,Scott Grayson,Professor,,"macromolecular architecture,materials application,polymer films",
Lousiana,Baton Rouge,R1,Louisiana State University,Semin Lee,,https://www.seminlee.com/,"multifunctional organic materials,alkyne metathesis catalyst development,strained carbon nanohoops,synthetic organic",
Lousiana,Baton Rouge,R1,Louisiana State University,Vicente,,,"light absorbing and emitting materials,biological labels,phtodynamic therapy",
Maine,Orono,R2,University of Maine,Matthew Brichacek,,https://umaine.edu/brichlab/,synthetic organic,
Maryland,College Park,,University of Maryland,Andrei Vedernikov,,,"experimental and compoutation organotransition metal chemistry,homogenous catalysis for green synthetic methodologies,methane conversion",
Maryland,Baltimore,R1,Johns Hopkins University,Caren Meyers,,https://www.hopkinsmedicine.org/pharmacology_molecular_sciences/faculty/bios/meyers.html,synthetic organic,
Maryland,,X,NIH,Clifton Barry,,https://www.niaid.nih.gov/research/clifton-e-barry-iii-phd,synthetic organic,
Maryland,Baltimore,R1,Johns Hopkins University,Craig Townsend,,https://sites.krieger.jhu.edu/townsend-lab/,"biosynthetic enzymes,polyketide synthases,natural products,synthetic organic",
Maryland,,X,NIH,Daniel Appella,,https://www.niddk.nih.gov/research-funding/at-niddk/labs-branches/laboratory-bioorganic-chemistry/synthetic-bioactive-molecules-section,synthetic organic,
Maryland,College Park,,University of Maryland,Daniel Falvey,,,"organic photochemistry,ultrafast laser spectroscopy,dynamics of organic and enzymatic reactions",
Maryland,Baltimore,R1,Johns Hopkins University,J D Tovar,,https://sites.krieger.jhu.edu/tovar-group/,"organic materials with extended pi electron conjugation,organic electronic materials",
Maryland,College Park,,University of Maryland,Jeffrey Davis,,,"supramolecular chemistry,molecular self-assembly,chemistry of bioconjugates",
Maryland,,X,NIH,John Schneekloth,,https://irp.nih.gov/pi/john-schneekloth,synthetic organic,
Maryland,Baltimore,R1,Johns Hopkins University,John Toscano,,,"nanosecodn time resolved infrared spectroscopy,organic reactive intermediates,photochemical precursors of nitric oxide",
Maryland,College Park,R1,University of Maryland,Katherine Seley-Radke,,https://chemistry.umbc.edu/seley-radtke-lab/,synthetic organic,
Maryland,College Park,,University of Maryland,Lai-Xi Wang,,,"chemoenzymatic synthesis of oligosaccharides and glycoproteins,synthetic carbohydrate chemistry,bioorganic and immunology",
Maryland,College Park,,University of Maryland,Lawrence S Rita,,,"mechanistic inorganic and organometallic chemistry,molecular and mesoscopic self assembly processes,chemically modified surface and interfaces",
Maryland,College Park,,University of Maryland,Lyle Isaacs,,,"host-guest chemistry,molecular recognition,cucurbituril molecular containers",
Maryland,Baltimore,R1,Johns Hopkins University,Marc Greenberg,Professor,http://sites.krieger.jhu.edu/greenberg/,nucleic acid,
Maryland,,X,NIH,Martin Schnermann,,https://ccr.cancer.gov/Chemical-Biology-Laboratory/martin-j-schnermann,synthetic organic,
Maryland,College Park,,University of Maryland,Myles B Poulin,,,"bioorganic carbohydrate chemistry,enzymology bacterial biofilm biosynthesis,kinetic isotope effects",
